8.646,0.1885
9.0015,0.15471
9.1321,0.13088
9.1661,0.11677
9.2317,0.10328
9.2477,0.099017
9.2561,0.09662
9.2542,0.098867
9.2415,0.10378
9.2232,0.108
9.2025,0.11246
9.2045,0.11451
9.2122,0.11591
9.2373,0.11814
9.2273,0.12332
9.1947,0.13019
9.1817,0.13795
9.1701,0.14447
9.1641,0.15093
9.1514,0.15884
9.14,0.16765
9.1259,0.1776
9.1038,0.18991
9.086,0.20228
9.0609,0.21552
9.0441,0.22759
9.0288,0.23823
9.0199,0.24691
9.0133,0.25413
9.0077,0.26025
9.0026,0.26571
8.9963,0.27108
8.9829,0.27716
8.967,0.28252
8.9572,0.28523
8.9535,0.28448
8.9608,0.27948
8.9748,0.27088
8.9958,0.25912
9.0232,0.24518
9.0513,0.23072
9.0787,0.21682
9.1029,0.2043
9.1256,0.19325
9.139,0.185
9.1502,0.17827
9.1595,0.17279
9.1645,0.16855
9.1697,0.16468
9.1763,0.16048
9.1833,0.15631
9.1911,0.15249
9.1963,0.14966
9.2004,0.14822
9.1992,0.14892
9.1937,0.15205
9.1825,0.15792
9.1661,0.16634
9.1461,0.17678
9.1241,0.18852
9.1016,0.20089
9.0799,0.21326
9.0597,0.22517
9.0414,0.23629
9.0252,0.24636
9.0123,0.25516
9.0017,0.26276
8.992,0.26957
8.9829,0.2759
8.9736,0.28213
8.9619,0.28887
8.9483,0.29638
8.9311,0.30518
8.9102,0.31544
8.8876,0.32698
8.8628,0.3399
8.8341,0.35482
8.8006,0.37575
8.4322,0.43245
7.6859,0.50483
7.4532,0.52813
6.8136,0.60937
5.7815,0.73489
4.989,0.82922
4.5185,0.88102
4.3517,0.89115
4.4505,0.8633
4.7528,0.80511
5.1836,0.72689
5.6578,0.64183
6.103,0.56211
6.5003,0.4927
6.8779,0.43035
7.2866,0.36797
7.765,0.30011
8.3138,0.22899
7.4383,0.53
7.4435,0.5328
7.2182,0.55897
7.0525,0.58077
6.7863,0.6127
6.5696,0.63942
6.3198,0.6697
6.1395,0.69141
6.0244,0.70555
5.6703,0.74795
5.5409,0.76383
5.3342,0.7886
5.1613,0.8091
4.9198,0.83674
4.8394,0.84641
4.7108,0.86084
4.6096,0.87175
4.5716,0.87512
4.4524,0.88711
4.4376,0.88747
