211,210,168
235,211,212
239,216,218
217,218,216
217,216,174
209,167,210
228,197,226
239,218,219
220,219,186
239,215,216
241,221,222
230,229,201
230,203,231
241,240,221
223,194,225
232,207,208
232,226,224
247,208,209
92,60,61
234,211,235
238,214,215
238,237,214
255,183,217
255,176,204
244,230,246
237,213,214
134,11,2
237,236,213
244,227,229
252,237,238
252,238,240
233,209,210
111,36,37
111,113,36
233,210,234
109,37,38
93,46,47
235,212,236
251,236,237
243,228,226
75,226,232
121,28,29
247,232,208
160,90,92
247,209,233
244,242,227
249,244,246
241,222,223
100,64,65
240,220,221
193,136,134
126,14,15
239,238,215
239,219,220
241,223,242
251,250,236
239,220,240
239,240,238
252,240,241
250,235,236
250,249,235
249,234,235
99,40,41
249,248,234
248,245,243
75,243,226
251,241,78
248,243,233
130,12,13
248,233,234
249,246,245
249,245,248
96,62,63
78,242,244
250,244,249
82,55,56
193,191,254
78,244,250
104,68,69
252,241,251
119,27,28
112,73,114
252,251,237
99,105,40
104,69,106
253,158,160
118,18,1
253,205,158
254,206,207
254,207,224
129,32,4
133,19,20
99,41,42
42,0,43
164,94,96
98,63,64
98,96,63
242,78,241
79,53,54
122,16,17
108,70,71
121,119,28
122,17,120
81,52,53
108,71,110
218,217,183
118,1,117
75,232,247
101,65,66
204,183,255
131,129,4
26,74,5
91,47,48
79,81,53
76,187,154
87,49,50
122,124,16
182,124,122
98,64,100
146,3,6
146,6,144
142,7,8
142,8,140
144,6,7
135,20,21
101,66,102
76,154,156
82,80,55
88,58,59
132,2,12
91,93,47
109,38,107
110,71,72
123,29,30
109,111,37
99,42,43
139,22,23
131,4,19
77,176,255
82,56,84
139,23,141
176,119,121
77,255,175
132,12,130
115,34,35
117,1,33
78,250,251
206,254,191
123,121,29
175,110,112
87,50,85
165,95,163
178,117,116
115,35,113
132,134,2
86,57,58
113,35,36
178,179,117
116,33,34
116,117,33
99,97,105
97,44,45
97,45,95
107,38,39
103,67,68
137,21,22
145,25,3
141,23,24
103,102,67
175,174,110
85,50,51
83,51,52
90,59,60
160,92,162
143,24,25
102,66,67
114,74,26
147,26,27
135,133,20
101,100,65
196,139,141
131,19,133
156,86,88
84,56,57
115,116,34
178,155,179
95,45,46
95,46,93
138,9,10
138,10,136
157,155,178
161,93,91
164,162,94
94,61,62
83,85,51
120,17,18
147,114,26
114,73,74
137,22,139
188,129,131
124,15,16
124,126,15
89,48,49
89,49,87
86,84,57
86,58,88
157,87,155
83,52,81
140,8,9
140,9,138
127,31,32
127,125,31
120,18,118
155,87,85
80,54,55
80,79,54
137,135,21
106,69,70
161,91,159
163,109,107
165,163,107
105,39,40
94,92,61
94,62,96
162,92,94
143,141,24
136,10,11
136,11,134
77,112,114
127,32,129
125,30,31
174,108,110
89,91,48
163,95,93
128,13,14
128,130,13
106,70,108
247,233,75
167,98,100
166,96,98
90,60,92
90,88,59
150,126,124
150,124,182
148,79,80
149,151,81
148,80,150
152,82,84
146,145,3
199,141,143
184,125,127
167,100,168
153,85,83
151,83,81
128,14,126
150,80,82
145,143,25
213,170,171
112,72,73
112,110,72
199,143,201
193,195,136
104,103,68
201,143,145
105,107,39
165,97,95
213,212,170
192,133,135
169,101,102
142,144,7
99,43,44
99,44,97
216,173,174
123,30,125
221,188,190
171,103,104
189,132,130
195,138,136
186,127,129
204,121,123
163,93,161
159,91,89
196,137,139
169,168,101
158,88,90
152,150,82
203,145,146
197,138,195
186,184,127
222,190,192
197,140,138
202,146,144
221,190,222
168,100,101
154,84,86
158,90,160
151,153,83
179,118,117
159,115,113
157,89,87
190,131,133
223,192,194
231,202,200
200,144,142
170,102,103
170,103,171
161,113,111
161,159,113
172,104,106
173,106,108
200,202,144
167,166,98
180,120,118
180,118,179
180,179,153
149,81,79
198,142,140
198,200,142
219,184,186
204,123,183
194,135,137
203,146,202
183,123,125
183,125,184
187,130,128
187,189,130
76,189,187
154,152,84
148,150,182
181,122,120
193,134,191
158,156,88
228,200,198
169,102,170
199,196,141
203,201,145
163,111,109
163,161,111
155,85,153
155,153,179
154,86,156
185,128,126
173,108,174
172,106,173
164,96,166
228,231,200
180,153,151
181,151,149
147,27,119
77,175,112
208,164,166
207,162,164
197,198,140
210,167,168
165,107,105
165,105,97
190,133,192
190,188,131
157,159,89
177,116,115
181,182,122
181,149,182
172,171,104
186,129,188
191,134,132
191,132,189
224,195,193
76,156,205
180,151,181
180,181,120
245,231,228
242,225,227
205,156,158
253,191,205
225,194,196
223,222,192
185,126,150
185,150,152
185,187,128
76,205,189
204,176,121
255,217,175
194,192,135
194,137,196
148,182,149
148,149,79
253,206,191
206,160,162
227,196,199
231,203,202
177,178,116
177,157,178
154,187,185
154,185,152
227,199,229
212,169,170
206,162,207
228,198,197
243,75,233
176,147,119
177,115,159
177,159,157
253,160,206
205,191,189
229,199,201
208,166,209
226,197,195
208,207,164
114,147,77
224,226,195
176,77,147
254,224,193
232,224,207
245,246,231
209,166,167
234,210,211
246,230,231
230,201,203
244,229,230
220,186,188
217,174,175
218,183,184
211,168,169
236,212,213
219,218,184
215,172,173
215,173,216
220,188,221
225,196,227
242,223,225
214,171,172
245,228,243
214,172,215
214,213,171
211,169,212
